,栄養素,説明文,運動目的
35,3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸 (HMPA),3-（4-ヒドロキシ-3-メトキシフェニル）プロピオン酸（HMPA）は、BMIが高めの方の腹部の脂肪を減らす機能が報告されています。,無酸素運動
36,酪酸菌,酪酸菌は腸に届いた食物繊維を発酵・分解して「酪酸」を作る細菌の総称であり、腸内環境の改善をサポートします。,ストレッチ
37,イソマルトデキストリン,イソマルトデキストリンは、でん粉から酵素の作用によって製造される、新しい水溶性食物繊維である。「腸内細菌叢改善作用を起点とした抗肥満作用」「便通を改善させる作用」「食後高脂血症や肝臓への脂肪蓄積を抑制する」「血糖上昇を抑制する」といった効果が期待される。（でん粉から酵素の力でつくる新しい水溶性食物繊維「イソマルトデキストリン」https://www.alic.go.jp/joho-d/joho08_000580.html）,ストレッチ
38,バナバ葉由来コロソリン酸,バナバ葉由来コロソリン酸は、健常な方の高めの空腹時血糖値を下げる機能が報告されています。,ストレッチ
39,エノキタケ由来脂肪酸（リノール酸・α－リノレン酸）,エノキタケ由来脂肪酸（リノール酸、α－リノレン酸）には、肥満気味な方の、内臓脂肪・体重・ＢＭＩを減少させる機能があることが報告されています。,無酸素運動
40,希少糖含有シロップ由来の希少糖（プシコース・ソルボース・タガトース・アロース）,希少糖（プシコース、ソルボース、タガトース、アロース）は砂糖よりも摂取後の血糖上昇が緩やかな低ＧＩ甘味料です。,ストレッチ
41,熟成ホップ由来苦味酸,熟成ホップ由来苦味酸は、お腹周りの脂肪（体脂肪）を減らす機能があるとされています。,無酸素運動
42,赤パプリカ由来キサントフィル,赤パプリカ由来キサントフィルには、肥満気味の方（体脂肪が気になる方、BMI が高めの方）の体脂肪（皮下脂肪および総脂肪）を減らすのを助け、BMI値を改善する機能があることが報告されています。,無酸素運動
43,赤ブドウ葉由来ポリフェノール,赤ブドウ葉由来ポリフェノールは、夕方の脚のむくみを軽減するとされています。,ストレッチ
44,低分子化アルギン酸ナトリウム,海藻由来の水溶性食物繊維（低分子化アルギン酸ナトリウム）には、コレステロールの吸収をしにくくし、おなかの調子を整える作用がありますので、食物繊維が不足がちな現代人の食生活の改善に役立つとされています。,ストレッチ
45,グアーガム分解物,グアーガム分解物（食物繊維）は、食後の血糖値の上昇を抑えることが報告されています。,有酸素運動
46,グァバ葉ポリフェノール,グァバ葉ポリフェノールは糖の吸収をおだやかにするとされています。,ストレッチ
47,キウイ由来プロシアニジン,キウイ由来プロシアニジンは食事による脂肪の吸収を抑えることで、食後の中性脂肪の上昇を抑える機能が報告されています。,有酸素運動
48,ボタンボウフウ由来クロロゲン酸,ボタンボウフウ由来クロロゲン酸は、食前に飲むことで食後に上がる血糖値を抑える機能が報告されています。,有酸素運動
49,大麦β-グルカン,大麦の水溶性食物繊維の大部分を占めるβ-グルカンは「血中コレステロール正常化」、「食後血糖値の上昇抑制」に加え「内臓脂肪の減少」の効果もあるとされています（大麦 β-グルカンの機能性についてhttps://www.jstage.jst.go.jp/article/jisdh/26/1/26_3/_pdf/-char/ja）。,有酸素運動
50,大豆たんぱく質ベータコングリシニン,大豆たんぱく質ベータコングリシニンには肥満気味の方の高めのBMIを低下させる機能、および高めの血中中性脂肪値を低下させる機能があるとされています。,無酸素運動
51,小麦アルブミン,"小麦粉の水溶性タンパク質画分を抽出・分離した小麦アルブミンはアミラーゼ阻害活性を有し,糖質の消化吸収を遅延させる（ヒトにおける小麦アルブミンの単回投与による食後血糖上昇抑制作用と安全性https://www.jstage.jst.go.jp/article/jsnfs1983/52/5/52_5_285/_pdf/-char/ja）。すなわちご飯や麺類等の糖質と一緒に摂取した時に血糖の上昇を遅らせることができます。",ストレッチ
52,小麦ブラン由来アラビノキシラン,小麦ブラン由来アラビノキシランは、発酵性の食物繊維で、善玉菌とよばれる腸内の酪酸菌を増やし、有用物質である酪酸を増加させることにより、腸内環境を改善するとされています。,ストレッチ
53,大麦若葉由来食物繊維,大麦若葉由来食物繊維は食事に含まれる糖の吸収を抑え、食後の血糖値の上昇をおだやかにするとされています。,有酸素運動
54,寒天由来の食物繊維,寒天は海藻の食物繊維をたくさん含んでおりますので、おなかの調子を整えてお通じを改善するとされています。,ストレッチ
55,ジンセノサイドRg1,ジンセノサイドRg1には、運動後（ジョギングや自転車、スポーツなど）に摂取した食事による血糖値の上昇を抑える機能があることが報告されています。,有酸素運動
56,トマト由来食物繊維,トマト由来食物繊維には、糖の吸収を抑制し、食後血糖値の上昇を抑える機能が報告されています。,有酸素運動
57,ナリンジン,ナリンジンには、健康な方の高めの空腹時血糖値を低下させる機能があることが報告されています。,ストレッチ
58,パッションフルーツ種子由来ピセアタンノール,パッションフルーツ種子由来ピセアタンノールには、日常生活（安静時や日常活動時）のエネルギーとして、脂肪を消費しやすくする機能が報告されています。,ストレッチ
59,パラチノース,パラチノースには軽食から摂取した糖の吸収速度を抑え、食後の血糖値の上昇を抑える機能があるとされています。,有酸素運動
60,ピニトール,ピニトールには食後血糖値の上昇をおだやかにする機能があるとされています。,有酸素運動
61,プーアール茶由来没食子酸,プーアール茶由来没食子酸には、食事の時の糖の吸収を抑え、食後の血糖値の上昇を穏やかにする機能や、肥満気味な方の体脂肪（内臓脂肪）とBMIを減らす機能のあることが報告されています。,無酸素運動
62,γ-オリザノール,γ-オリザノールには血中の中性脂肪や総コレステロールを低下させる機能が報告されています。,無酸素運動
63,アルギン酸Ca,アルギン酸Caには食後の血糖値上昇を抑える機能があるとされています。,有酸素運動
64,カカオリグニン,カカオリグニンは、便通が気になる方のおなかの調子を整える機能が報告されています。,ストレッチ
65,L-アラビノース,L-アラビノースは、食後の血糖値上昇をおだやかにすることが報告されています。,有酸素運動
66,アラニン・アルギニン・フェニルアラニン混合物,アラニン・アルギニン・フェニルアラニン混合物には、身体活動との併用によりBMIが高めの方の脂肪の代謝（脂肪の分解と消費する力）をさらに上げ、体脂肪をより減らす機能があることが報告されています。,無酸素運動
